AppName,word,count,total_tokens,tf,df_platforms,idf,tfidf
Amazon shopping,advise,80,778915,0.00010270697059371048,4,1.0,0.00010270697059371048
Amazon shopping,advised,38,778915,4.878581103201248e-05,4,1.0,4.878581103201248e-05
Amazon shopping,advisor,11,778915,1.4122208456635191e-05,4,1.0,1.4122208456635191e-05
Amazon shopping,adware,3,778915,3.851511397264143e-06,3,1.2231435513142097,4.710951328376818e-06
Amazon shopping,aed,26,778915,3.3379765442955906e-05,2,1.5108256237659907,5.043100494651632e-05
Amazon shopping,aesthetic,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,affect,30,778915,3.851511397264143e-05,4,1.0,3.851511397264143e-05
Amazon shopping,affected,22,778915,2.8244416913270382e-05,4,1.0,2.8244416913270382e-05
Amazon shopping,affecting,14,778915,1.7973719853899334e-05,4,1.0,1.7973719853899334e-05
Amazon shopping,affiliate,20,778915,2.567674264842762e-05,4,1.0,2.567674264842762e-05
Amazon shopping,affirm,28,778915,3.594743970779867e-05,3,1.2231435513142097,4.39688790648503e-05
Amazon shopping,afford,176,778915,0.00022595533530616306,4,1.0,0.00022595533530616306
Amazon shopping,affordability,6,778915,7.703022794528286e-06,4,1.0,7.703022794528286e-06
Amazon shopping,affordable,199,778915,0.00025548358935185484,4,1.0,0.00025548358935185484
Amazon shopping,afraid,55,778915,7.061104228317596e-05,4,1.0,7.061104228317596e-05
Amazon shopping,africa,64,778915,8.216557647496838e-05,4,1.0,8.216557647496838e-05
Amazon shopping,african,23,778915,2.9528254045691763e-05,3,1.2231435513142097,3.6117293517555604e-05
Amazon shopping,afternoon,35,778915,4.4934299634748335e-05,4,1.0,4.4934299634748335e-05
Amazon shopping,afterpay,19,778915,2.439290551600624e-05,3,1.2231435513142097,2.9836025079719846e-05
Amazon shopping,afterward,32,778915,4.108278823748419e-05,4,1.0,4.108278823748419e-05
Amazon shopping,against,206,778915,0.0002644704492788045,4,1.0,0.0002644704492788045
Amazon shopping,age,197,778915,0.00025291591508701207,4,1.0,0.00025291591508701207
Amazon shopping,agency,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,agenda,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,agent,343,778915,0.0004403561364205337,4,1.0,0.0004403561364205337
Amazon shopping,aggravating,60,778915,7.703022794528286e-05,4,1.0,7.703022794528286e-05
Amazon shopping,aggressive,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,ago,1155,778915,0.0014828318879466951,4,1.0,0.0014828318879466951
Amazon shopping,agree,117,778915,0.00015020894449330158,4,1.0,0.00015020894449330158
Amazon shopping,agreed,40,778915,5.135348529685524e-05,4,1.0,5.135348529685524e-05
Amazon shopping,agreement,25,778915,3.2095928310534525e-05,4,1.0,3.2095928310534525e-05
Amazon shopping,ahead,89,778915,0.00011426150478550292,4,1.0,0.00011426150478550292
Amazon shopping,ahold,50,778915,6.419185662106905e-05,3,1.2231435513142097,7.851585547294696e-05
Amazon shopping,aid,16,778915,2.0541394118742096e-05,4,1.0,2.0541394118742096e-05
Amazon shopping,ain't,126,778915,0.00016176347868509402,4,1.0,0.00016176347868509402
Amazon shopping,aint,20,778915,2.567674264842762e-05,4,1.0,2.567674264842762e-05
Amazon shopping,air,47,778915,6.034034522380491e-05,4,1.0,6.034034522380491e-05
Amazon shopping,airpod,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,aka,24,778915,3.0812091178113144e-05,4,1.0,3.0812091178113144e-05
Amazon shopping,alarm,7,778915,8.986859926949667e-06,4,1.0,8.986859926949667e-06
Amazon shopping,album,47,778915,6.034034522380491e-05,4,1.0,6.034034522380491e-05
Amazon shopping,alert,126,778915,0.00016176347868509402,4,1.0,0.00016176347868509402
Amazon shopping,alerted,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,alexa,414,778915,0.0005315085728224518,1,1.916290731874155,0.0010185249520113238
Amazon shopping,algorithm,98,778915,0.00012581603897729535,4,1.0,0.00012581603897729535
Amazon shopping,ali,38,778915,4.878581103201248e-05,4,1.0,4.878581103201248e-05
Amazon shopping,alibaba,46,778915,5.9056508091383526e-05,4,1.0,5.9056508091383526e-05
Amazon shopping,aliexpress,126,778915,0.00016176347868509402,4,1.0,0.00016176347868509402
Amazon shopping,alike,13,778915,1.6689882721477953e-05,4,1.0,1.6689882721477953e-05
Amazon shopping,alittle,3,778915,3.851511397264143e-06,4,1.0,3.851511397264143e-06
Amazon shopping,alive,18,778915,2.3109068383584858e-05,4,1.0,2.3109068383584858e-05
Amazon shopping,allot,32,778915,4.108278823748419e-05,4,1.0,4.108278823748419e-05
Amazon shopping,allow,1132,778915,0.0014533036339010033,4,1.0,0.0014533036339010033
Amazon shopping,allowed,280,778915,0.0003594743970779867,4,1.0,0.0003594743970779867
Amazon shopping,allowing,181,778915,0.00023237452096826997,4,1.0,0.00023237452096826997
Amazon shopping,allway,23,778915,2.9528254045691763e-05,4,1.0,2.9528254045691763e-05
Amazon shopping,almost,1705,778915,0.0021889423107784548,4,1.0,0.0021889423107784548
Amazon shopping,alone,231,778915,0.00029656637758933903,4,1.0,0.00029656637758933903
Amazon shopping,along,187,778915,0.00024007754376279824,4,1.0,0.00024007754376279824
Amazon shopping,alot,570,778915,0.0007317871654801872,4,1.0,0.0007317871654801872
Amazon shopping,alright,83,778915,0.00010655848199097463,4,1.0,0.00010655848199097463
Amazon shopping,alter,11,778915,1.4122208456635191e-05,4,1.0,1.4122208456635191e-05
